number;group;name;suggested_cost_price;extra_cost;sales_price;unit_id;stock_quantity;description;min_inventory_quantity;min_sales_quantity;min_purchase_quantity;barcode;default_location_id;variation_id;weight;weight_unit;width;height;depth;size_unit;supplier_product_number;is_barred;discount_group;image_url;Har batchstyring;has_serial_numbers;default_supplier_id
SOL-60900143;25;MARK FOR ELECTRIC CABLE Nº3; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900144;25;MARK FOR ELECTRIC CABLE Nº4; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900145;25;MARK FOR ELECTRIC CABLE Nº5; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900146;25;MARK FOR ELECTRIC CABLE Nº6; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900147;25;MARK FOR ELECTRIC CABLE Nº7; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900148;25;MARK FOR ELECTRIC CABLE Nº8; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60900149;25;MARK FOR ELECTRIC CABLE Nº9; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-TP.1.L.14;25;Hollow Toe Terminal Section 1 Length 14; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-TP.1.L.14.2;25;Hollow Toe Terminal Sec. 1 Length 14; kr 0,59 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-12111006;25;O-Ring; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-12111007;25;O-Ring; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-12111059;25;O-Ring; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-12121050;25;O-Ring D. 6,07X1,78; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-13410026;25;O-Ring D. 6X2; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-16520088;25;O-Ring D. 11X1,5; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-243B0627;25;Washer, Spring; kr 0,70 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
