number;Price (EUR);dkk
1028157;2694;20097,24
1028413;2998;22365,08
1026003;2637;19672,02
1029092;2741;20447,86
560.10.65;46;343,16
1015850;3;22,38
90.02.001;247;1842,62
90.02.008;143;1066,78
1008773;3405;25401,3
560.14.51;48;358,08
506.20.13;171;1275,66
417.01.14;33;246,18
506.27.11;256;1909,76
440.20.53;361;2693,06
1010670;58;432,68
450.11.23;18;134,28
440.20.23;162;1208,52
440.22.15;560;4177,6
440.20.63;304;2267,84
440.20.03;134;999,64
440.21.12;38;283,48
418.01.33;14;104,44
418.01.15;14;104,44
402.04.52;31;231,26
401.04.39;114;850,44
417.01.34;40;298,4
401.03.73;76;566,96
418.00.33;14;104,44
501.43.25;740;5520,4
410.07.51;228;1700,88
40.01.212;4;29,84
415.01.55;95;708,7
415.12.35;67;499,82
1007423;314;2342,44
401.01.08;475;3543,5
30.04.016;35;261,1
401.03.66;475;3543,5
40.03.003;71;529,66
40.03.005;19;141,74
512.01.60;1129;8422,34
512.01.50;2144;15994,24
401.03.56;28;208,88
560.40.84;968;7221,28
560.40.81;968;7221,28
560.40.83;968;7221,28
556.50.10;2163;16135,98
400.06.76;523;3901,58
400.06.74;560;4177,6
420.00.98;219;1633,74
420.00.97;152;1133,92
29.01.039;95;708,7
1017824;673;5020,58
556.50.29;2542;18963,32
556.50.00;2305;17195,3
556.50.19;2542;18963,32
556.50.02;1357;10123,22
556.50.16;1755;13092,3
556.50.17;1992;14860,32
556.50.18;2296;17128,16
53.12.021;52;387,92
53.12.022;2;14,92
415.01.64;36;268,56
512.22.49;58;432,68
420.00.05;4202;31346,92
560.10.05;940;7012,4
27.08.124;10;74,6
560.01.27;82;611,72
400.70.10;7;52,22
400.70.15;7;52,22
400.70.18;8;59,68
400.71.02;39;290,94
400.70.14;143;1066,78
400.09.09;67;499,82
400.71.01;52;387,92
22000031;6;44,76
22000015;9;67,14
512.22.85;124;925,04
400.06.79;427;3185,42
560.34.70;351;2618,46
560.14.77;190;1417,4
560.34.23;219;1633,74
28.02.062;6;44,76
28.09.706.10000;134;999,64
28.09.706.2000;76;566,96
28.09.706.0550;67;499,82
28.09.721.1300;200;1492
28.09.719.2500;275;2051,5
28.09.721.3100;323;2409,58
28.09.720.1100;190;1417,4
500.00.26;465;3468,9
500.00.24;275;2051,5
500.00.25;304;2267,84
500.00.23;275;2051,5
502.02.67;162;1208,52
500.00.94;275;2051,5
500.00.95;332;2476,72
500.01.34;304;2267,84
521.00.06;323;2409,58
440.21.37;21;156,66
22017273;2880;21484,8
505.05.75;304;2267,84
500.40.76;295;2200,7
500.15.76;91;678,86
400.15.01;210;1566,6
512.01.51;361;2693,06
556.51.56;806;6012,76
400.40.18;134;999,64
441.00.21;1660;12383,6
500.20.76;114;850,44
501.45.01;266;1984,36
440.20.61;1120;8355,2
505.05.35;427;3185,42
505.20.01;788;5878,48
502.05.41;1148;8564,08
401.10.76;228;1700,88
400.25.76;180;1342,8
450.01.00;95;708,7
512.01.01;399;2976,54
556.50.58;361;2693,06
401.10.83;152;1133,92
418.01.01;408;3043,68
505.12.01;104;775,84
501.63.01;684;5102,64
556.51.66;351;2618,46
401.10.23;162;1208,52
505.03.52;371;2767,66
505.03.53;219;1633,74
560.40.40;7341;54763,86
502.05.61;634;4729,64
27.01.013;266;1984,36
28.09.712.0770;171;1275,66
28.09.725.3000;408;3043,68
28.09.706;7;52,22
430.11.70;3376;25184,96
99142.9.00;12680;94592,8
512.31.30;2618;19530,28
512.31.20;2239;16702,94
29.02.114;17;126,82
502.03.91;171;1275,66
30.04.039;82;611,72
29.01.113;200;1492
29.01.102;256;1909,76
440.05.03;986;7355,56
560.17.03;1262;9414,52
560.40.20;5179;38635,34
560.40.21;5179;38635,34
560.40.22;5179;38635,34
440.05.00;3016;22499,36
440.08.00;3016;22499,36
503.06.30;1924;14353,04
560.40.23;5179;38635,34
503.06.31;2048;15278,08
440.05.01;1868;13935,28
440.09.01;2153;16061,38
401.03.67;2609;19463,14
502.06.72;940;7012,4
502.06.70;749;5587,54
502.06.71;749;5587,54
506.20.17;71;529,66
440.21.30;48;358,08
440.21.26;67;499,82
401.03.16;43;320,78
1025525;266;1984,36
1025136;76;566,96
502.03.53;76;566,96
506.26.62;219;1633,74
416.03.50;91;678,86
502.03.56;436;3252,56
505.12.05;29;216,34
506.20.72;816;6087,36
512.22.97;180;1342,8
505.07.33;323;2409,58
540.02.10;71;529,66
540.02.19;44;328,24
540.00.10;23;171,58
560.41.62;21;156,66
400.02.26;12;89,52
90.02.058;3;22,38
435.00.30;20;149,2
435.00.29;19;141,74
435.02.05;1195;8914,7
911.05.21;371;2767,66
575.14.18;769;5736,74
1019928;1566;11682,36
540.00.00;5121;38202,66
540.02.00;4808;35867,68
505.04.59;1660;12383,6
505.80.59;2362;17620,52
505.80.67;2494;18605,24
505.11.12;2135;15927,1
506.39.21;2362;17620,52
506.39.22;2409;17971,14
575.10.10;2248;16770,08
506.37.04;3785;28236,1
506.37.07;3462;25826,52
506.37.06;3509;26177,14
505.80.58;2096;15636,16
30.05.570;1470;10966,2
30.05.519;399;2976,54
1009362;380;2834,8
22035511;86;641,56
31.00.710;104;775,84
40.07.017;46;343,16
401.23.76;2457;18329,22
506.27.13;162;1208,52
505.13.64;33;246,18
556.26.17;180;1342,8
436.00.70;35;261,1
556.26.15;190;1417,4
506.26.14;588;4386,48
506.20.20;114;850,44
575.10.06;76;566,96
555.20.08;152;1133,92
28.11.141;37;276,02
27.06.805;104;775,84
555.20.00;143;1066,78
555.20.01;180;1342,8
555.20.03;41;305,86
555.20.07;82;611,72
555.20.11;104;775,84
555.20.04;176;1312,96
556.61.79;134;999,64
555.20.05;91;678,86
512.02.37;712;5311,52
400.04.01;104;775,84
560.15.29;436;3252,56
400.03.59;447;3334,62
502.02.69;238;1775,48
502.02.65;2409;17971,14
540.01.80;1840;13726,4
540.01.75;523;3901,58
600.01.70;845;6303,7
403.41.02;1727;12883,42
403.42.00;1964;14651,44
502.02.40;551;4110,46
400.40.10;1224;9131,04
400.40.09;769;5736,74
401.41.09;655;4886,3
401.41.07;332;2476,72
401.41.01;332;2476,72
401.41.05;332;2476,72
401.41.06;332;2476,72
530.11.47;180;1342,8
28.12.016.2500;930;6937,8
28.12.016.5000;1233;9198,18
28.12.020.2000;968;7221,28
28.12.020.0460;892;6654,32
415.12.07;18;134,28
415.01.59;23;171,58
560.14.15;225;1678,5
450.00.17;1101;8213,46
402.26.07;1774;13234,04
99126.0.00;1214;9056,44
450.00.20;1177;8780,42
450.00.11;864;6445,44
450.00.21;1062;7922,52
1024888;940;7012,4
402.25.49;1622;12100,12
450.00.12;940;7012,4
403.25.94;3699;27594,54
402.26.57;1755;13092,3
1031191;968;7221,28
450.00.22;997;7437,62
450.00.23;882;6579,72
402.25.40;1148;8564,08
450.00.28;1120;8355,2
450.00.13;760;5669,6
450.00.04;882;6579,72
450.00.24;645;4811,7
403.25.12;3946;29437,16
450.00.26;835;6229,1
402.26.56;1566;11682,36
450.00.27;1062;7922,52
403.25.03;3643;27176,78
450.00.14;1062;7922,52
402.26.59;1470;10966,2
402.25.00;1205;8989,3
540.01.32;218;1626,28
1017765;3804;28377,84
502.03.54;1755;13092,3
401.05.83;134;999,64
512.24.52;275;2051,5
401.00.23;16;119,36
402.25.37;38;283,48
401.10.74;18;134,28
401.10.04;45;335,7
402.25.75;62;462,52
526.00.18;2040;15218,4
22031021;2400;17904
402.25.06;32;238,72
415.12.05;58;432,68
415.01.35;82;611,72
440.20.01;389;2901,94
450.11.48;104;775,84
450.10.11;371;2767,66
450.10.16;721;5378,66
415.12.25;219;1633,74
415.01.38;418;3118,28
415.12.24;503;3752,38
415.12.74;503;3752,38
402.04.74;323;2409,58
402.04.72;797;5945,62
403.04.73;910;6788,6
547.00.22;3035;22641,1
547.00.20;3083;22999,18
415.01.19;86;641,56
415.01.16;427;3185,42
450.11.21;23;171,58
415.01.36;36;268,56
415.01.42;58;432,68
440.20.20;114;850,44
440.20.60;200;1492
440.22.10;475;3543,5
441.00.67;408;3043,68
500.30.75;1612;12025,52
500.40.75;2343;17478,78
501.17.87;2628;19604,88
501.23.98;4989;37217,94
501.17.80;2267;16911,82
501.23.30;2466;18396,36
501.23.00;2181;16270,26
501.38.12;8858;66080,68
501.38.30;2807;20940,22
501.38.98;4904;36583,84
501.45.00;3054;22782,84
501.45.85;5586;41671,56
501.55.00;5388;40194,48
