VareNr;Afdeling
SCA-B2;1
SCA-BB01;1
SCA-BB04;1
SCA-BB09;1
SCA-BB15;1
SCA-BB16;1
SCA-BB18;1
SCA-BB19;1
SCA-BB74;1
SCA-BB82;1
SCA-BB87;1
SCA-BBM18;4
SCA-BIA18;1
SCA-BIA19;1
SCA-BM17;4
SCA-BOG16;1
SCA-BRI15;1
SCA-BRI16;1
SCA-BRI18;1
SCA-BRI19;1
SCA-CAS20;1
SCA-CAS21;1
SCA-CS17;1
SCA-D15;1
SCA-D18;1
SCA-FAMO;10
SCA-MOS19;1
SCA-MOS20;1
SCA-MOS21;7
SCA-N17;1
SCA-N18;1
SCA-NEB19;1
SCA-NEB20;1
SCA-PELA21;1
SCA-PELA22;1
SCA-RCH16;1
SCA-S07;1
SCA-S08;1
SCA-S10;1
SCA-S11;1
SCA-S13;1
SCA-S15;1
SCA-S93;1
SCA-SM15;4
SEM-CDR20;1
SEM-CON19;1
SEM-CON21;1
SEM-CRL17;1
SEM-CRM18;1
SEM-CRM20;1
SEM-SJ19;1
SEM-SJ20;1
SEM-VIO19;1
SER-LOK;10
SERV-CM18;1
SERV-CM19;1
SIEPI-19;1
SIEPI-19m;4
SIEPI-20;1
SIEPI-21;1
SIEPI-DB21;5
SIEPI-MG21;4
SIEPI18;1
SK-MCD-PÅ23;10
SK-PA-JUL22;10
TAY-LBV17;10
TAY-TAW10;10
TAY-TAW20;10
TAY-VAR15;10
TB-PF19;1
TB-PFAB21;1
TB-PFQU21;1
TES-MED21;1
TES-SEGG20;1
TES-SOL22;1
TES-SOND19;1
TL-GRAN14;1
TL-HISB20;1
TL-HISR19;1
TL-HISR19m;4
TL-HIST18;1
TL-LARB19;1
TL-LARB20;1
TL-LART17;1
TL-TLB19;1
TL-TLT16;1
TL-TLT18;1
TOP-CAB20;1
TOP-CHS21;1
TOP-INN19;1
TRA-GC18;1
TRA-GCP18;1
TRA-MAR17;1
TRA-MAR18;1
TRIN-BIAN18;10
TRIN-CAM17;10
TRIN-CAM18;10
TRIN-CUP14;10
TRIN-CUP14m;10
TRIN-CUP15;10
TRIN-CUP15dm;10
TRIN-CUP17;10
TRIN-CUP17m;10
TRIN-CUP18;10
TRIN-CUP19;10
TRIN-CUP20;1
TRIN-CUP21;1
TRIN-MAG12;10
TRIN-MAG13;10
TRIN-MAG13m;10
TRIN-MAG15;10
TRIN-MAG17;10
TRIN-MAG18;10
TRIN-PAL12;10
TRIN-PAL13;10
TRIN-PAL15;10
TRIN-PAL15m;10
TRIN-PAL18;10
TRIN-PAL19;10
TRIN-PAL20;1
TRIN-TENA15;10
TRIN-TENA16;10
TRIN-TENA17;10
TRIN-TENA18;10
TRIN-TRIN11;10
TRIN-TRIN12;10
TRIN-TRIN12m;10
TRIN-TRIN13;10
TRIN-TRIN13m;10
TRIN-TRIN15;10
TRIN-TRIN15m;10
TRIN-TRIN17;10
TRIN-TRIN17m;10
TRIN-TRIN18m;10
TRIN-TRIN20;1
TRIN-TRINm20;4
VK-051FI-udenlåg;10
VK-065FI;10
VK-065FI-udenlåg;10
VK-1232FI;10
VK-1333FI;10
VK-2141FI;10
VK-2242FI;10
VK-231;10
VK-2343FI;10
VK-250098;10
VK-300007;10
VK-300108;10
VK-300110;10
VK-300111;10
VK-300111L;10
VK-300112;10
VK-300113;10
VK-300114;10
VK-300116;10
VK-365603;10
VK-380003;10
VK-4216678;10
VK-900150;10
VK-ALU-01-LÅG;10
