number,default_location_id
92048-0000,140
92049-0000,140
92050-0000,140
92051-0000,140
92052-0000,140
92053-0000,140
92054-01131,140
92055-01132,140
92056-01133,140
92057-0000,140
92058-0000,140
92059-0000,140
92060-0000,140
92061-0000,140
92062-0000,140
92063-0000,140
92064-0000,140
92065-0000,140
92066-01121,140
92067-0000,140
92068-0000,140
92069-0000,140
92070-0000,140
92071-0000,140
92072-01234,140
92073-01233,140
92074-0000,140
92075-0000,140
92076-0000,140
92077-01224,140
92078-01225,140
92079-01226,140
92080-01227,140
92081-01134,140
92082-01213,140
92083-01214,140
92084-01215,140
92085-01216,140
92086-0000,140
92087-01217,140
92089-0000,140
92091-01236,140
92093-0000,120
92094-0000,120
92095-0000,120
92096-01237,120
92097-0000,120
92098-01222,140
92099-01223,140
92100-01212,140
92102-01115,140
92103-01116,140
92104-01232,140
92105-01145,140
92106-0000,120
92107-0000,120
92108-0000,120
92109-01137,140
92110-0000,140
92111-01138,140
92112-0000,140
92113-01122,140
92114-01123,140
92115-0000,120
92116-0000,120
92117-01117,140
92118-01124,140
92120-01252,140
92121-01253,140
92122-01254,140
92123-01235,140
92124-0000,140
92125-0000,140
92126-0000,140
92127-0000,140
92128-0000,140
92129-0000,140
92137-0000,140
92138-0000,140
92139-0000,140
92211-01126,140
92230-01148,140
92231-01148,140
93001-15112,140
93002-15122,140
93003-15132,140
93004-15142,140
93005-15152,140
93006-15113,140
93007-15123,140
93008-15133,140
93009-15143,140
93010-15153,140
93011-15114,140
93012-15124,140
93013-15134,140
93014-15144,140
93015-15154,140
93016-15115,140
93017-15125,140
93018-15135,140
93019-15145,140
93020-15155,140
93021-15211,140
93022-15221,140
93023-15231,140
93024-15241,140
93025-15212,140
93026-15222,140
93027-15232,140
93028-15213,140
93029-15223,140
93030-15233,140
93031-15214,140
93032-15224,140
93033-15234,140
93034-15215,140
93035-15225,140
93036-15235,140
93037-15216,140
93038-15226,140
93039-15236,140
93040-0000,140
93043-15244,140
94001-0250,140
94001-1000,140
94002-0250,140
94002-1000,140
94003-0250,140
94003-1000,140
94004-1000,140
94005-1000,140
94006-1000,140
94007-1000,140
94008-1000,140
94009-1000,140
94010-1000,140
94011-1000,140
94012-1000,140
94013-1000,140
94014-0001,140
94015-07102,140
94016-07103,140
94017-0001,140
94018-0001,140
94019-0001,140
94020-0001,140
94021-0001,140
94022-0001,140
94023-0001,140
94024-0001,140
94024-3937,140
94025-0001 - 06212,120
94026-0001 - 05245,120
94027-0001,120
94028-0001,120
94029-0001,140
94030-0001,140
94031-0001,140
94032-0001,140
94033-0001,140
94034-0001,140
94035-0001,140
94036-0001,140
94037-0001,140
94038-0001,140
94039-0001,120
94040-0001,140
94041-0001,140
94042-0001,120
94043-0001,120
94044-0001,140
94045-07301,140
94046-07402,140
94047-0001,140
94048-0001,140
94049-07101,140
94050-17602,140
94051-0001,140
94052-0001,140
94053-0001,140
94054-17604,140
94063-01800,140
94064-01800,140
94065-01800,140
94066-00001,140
999933431-01251,120
ABC7*1600*4000,120
ABC7*1680*3980,120
AGFA-M1600-2416596098901,140
AGFA-M2050i-3320796029601,140
AGFAM2500i,140
AGFA-M4F-1916401049901,140
Anapurna M2500i,140
APM060B2-16FP-RF-1,140
Aristo Firmware,140
Aristo TL 1617 - ZI9043,140
BAH123Almega,120
BC2606000-100,140
BC2608000-100,140
BC2609000-100,140
BC2610000-100,140
BC2612000-100,140
BC2614000-100,140
BC2616000-50,140
BC2618000-50,140
BC2619000-50,140
BC2620000-50,140
BC2622000-50,140
BC2624000-50,140
BC2625000-50,140
BC2626000-50,140
BC2628000-50,140
BC2630000-50,140
BC2632000-50,140
BC2635000-50,140
BF-72028-001,140
BF-BAS100314160-001,140
BF-BAS160314160-001,140
BF-NTP160314160-001,140
BF-PRE160314160-065,140
BR16-EMB-05 - 05203,120
BAASE_F_32A,120
CardCret,140
Carmo overelektrode,120
CC_12_5,120
CCART_DE_6_10 - 05215,120
cncCUT_update_NV,140
Colex-SX1732,140
CP038A,120
CP12200V,140
CP1290,140
Cronos-80,140
CRONOS-PLUS,140
CRONOS-ULTIMATE2,140
Cutter Control,140
D2+23000915,120
D2+2357005 - 06213,120
D2+50701-0002,120
D2+51201-0009,120
D2+52301-0004,120
D2+52401-0001,120
D2+53102-0003,120
D2+57800-0018,120
D2+59313-0020,120
D2+59313-0021,120
D2+7030203-0064,120
D2+7040209-0006,120
D2+7051104-0003,120
D2+7170101-0222,120
D2+7170101-0552,120
D2+7170102-0501,120
D2+7250103-0020,120
D2+7250103-0037,120
D2+7299999-0010,120
D2+7299999-0015,120
D2+7300101-0032,120
D2+7300102-0015,120
D2+7300104-0012,120
D2+7300109-0010,120
D2+7321099-0014,120
D2+7321099-0016,120
D2+7350101-0001 - 06213,120
D2+7360103-0003,120
D2+7400101-0001 - 06213,120
d2+7400101-0002,120
D2+7440399-0002,120
D2+7500402-0002,120
D2+7500402-0004,120
D2+7500402-0022,120
D2+7500402-0025,120
D2+7500402-0026,120
d2+7500402-0049,120
D2+7500402-0056,120
D2+7500402-0057,120
D2+7500402-0058,120
d2+7500402-0060,140
D2+7500402-0094,120
D2+7501402-0010,120
D2+7501502-0002 - 06214,120
D2+7501502-0005,120
D2+7510102-0098,120
D2+7510102-0319,120
D2+7510102-0321,120
D2+7550206-0004,120
D2+7550206-0008S,120
D2+7570101-0001,120
D2+7570104-0001,120
D2+7570107-0006 - 06214,120
d2+7570107-0009S,120
D2+7590101-0016,120
D2+7590201-0003,120
D2+7610228-0004,120
D2+7610228-0009,120
D2+7620199-0002,120
D2+7621399-0011,120
D2+7630108-0004,120
D2+7630108-0006,120
D2+7630108-0009 - 06214,120
D2+7691399-0002,120
D2+7699999-0006,120
D2+7699999-0021,120
D22509266,120
D9018/500517,120
DE00019-02111,120
DE00022-05241,120
DE00039,120
DE00044,140
DE00045-03215,120
DE00046-05231,120
DE00048,120
DE00481,120
DE07094,120
DE07703,120
DM00023-02232,120
DM00033,140
DM00034,140
DM00116-02244,120
DM00117-02235,120
DM00118-02234,120
DM00120-02215,120
DM00121-02225,120
DM00122-02242,120
DM00123,120
DM00136,120
DM00204,120
DM00303,120
DM00450-2,120
DM00459-04231,120
DM00521,120
DM00522,120
DM00523,120
DM00534,140
DM00595,140
DM00643,140
DM00670,140
DM02490-1-03255,120
DM11279,120
DM80000,120
DM80001,120
DM80007,120
DM80008,120
DS-ELCOB SERVICE,120
DS-ELCOBYG LEJE,140
DWA-121,140
E82OW,120
EB05724,120
EB05727-03231,120
EC00208-03256,120
EC00209-03256,120
EC00247-03246,120
EC00250-03245,120
EC00603-02223,120
EC00608-03225,120
EC04990-03216,120
EC04991-04221,120
EE00009,140
EE00097,120
EE00209,120
EE00223,120
EE00265,140
EE00266,140
EE00269,140
EE00323,120
EE00450-05,120
EE00500,120
EE00563,140
EE00690-04202,120
EE00701-04252,120
EE01778-04232,120
EE01801,120
EE02057,120
EE05053-04251,120
EE07010-04235,120
EE07011-04255,120
EE07018-04243,120
EE07019-04253,120
EE07030-04201,120
EE07032,120
EE07046,120
EE07048,120
EE07049-04254,120
EE07099-04244,120
EE07622,120
EE07743-04225,120
EE07756-02112,120
EE07759,120
EE07769-02113,120
EE08618-04242,120
EE08619,120
EE08624-04245,120
EE08625-04241,120
EE08626-04233,120
EF00066,120
EG00005-03213,120
EG01517,120
EG07261,140
EH00025-05221,120
EH00131,140
EH00138-02214,120
EH00148-03223,120
EH00157,120
EH00544,140
EH00545,140
EH00672-02233,120
EH00689-03226,120
EH03412,120
EH03432-04212,120
EH03447,120
EH03465-04213,120
EH04708-04214,120
EH04709-04215,120
EH04711-04222,120
EH04713-04223,120
EH04720-04224,120
EH05201-03232,120
EH06199,120
EM010001-blade holder,120
EM010002-03214,120
EM010021-03221,120
EM010022-03222,120
EM010023,120
EM010024,120
EM010160-03253,120
EM010163,120
EM02370-02243,120
EM02522-02221,120
EM05766-02222,120
EM07080,120
EM07218-03232,120
EM07221-03241,120
EM07222-03212,120
EM07224-03224,120
EM07246,120
EM07260-02245,120
EM07261-03243,120
EM07262-03211,120
EM07265-03254,120
EM07266-03244,120
EM07272-02254,120
EM07276-03234,120
EM07285-03236,120
EM07286-03235,120
EM07287-03252,120
EM07296-02255,120
EM07297-03251,120
EM07312,120
EM07317-05211,120
EM07318,120
EM07320,120
EM07349-02211,120
EM07811-02251,120
EM07817-02213,120
EM07836,120
EM07837,120
EM07857-02252,120
EM07858,120
EM07936,120
EM07981-02241,120
EM07982-02251,120
EM110304-02212,120
EM11031,120
EM110362-04211,120
EM110394,140
EM11091,120
EM11101,120
EM11118,120
EM11209,120
EM11210-03234,120
EM11227,120
EM11228-02211,120
EM11234-02224,120
EM11235-02251,120
EM170421,120
EM202164,120
EM202248,120
EM202249,120
EM202250,120
EM260003,120
EM260086,120
EM260290,120
EM260294,120
EM400130,140
EM400298-02231,120
EM400299-02231,120
EM400526,120
EM400527,120
EM400528,120
EM400884,140
EM400885,140
EM400946,140
EM401122,140
Em401230,140
EM500130,140
EM50090,120
EM70121,120
EM70127,120
EM70149,120
EM72101-03242,120
EM72106-05213,120
EM75108,120
EM80001-02253,120
EM80019,120
EM80021,120
EMP_O_16,120
ENG0001-C,140
ENG0001UPG78-C,140
ENG0003-C,140
ENG0003UPG78-C,140
ENG0004-C,140
ENG0004UPG78-C,140
ENG0005-C,140
ENG0005UPG78-C,140
ENG0007-C,140
ENG0007UPG78-C,140
ENG0008,140
ENMT_PRES_2-6_1-4 - 05234,120
ER-4,140
ER-RMKIT,140
ESTC-00319 - 05205,120
ET-LAV400,140
EV00199-05251,120
EV00200-05252,120
EVO_16_RO,120
EVO_COMP+16,120
EVO_EXP_16,120
EVO_NMT_T - 05232,120
EVO_RO_01005,120
F3W43AA,140
F72-2GN-AL3 - 06214,120
FA00005,140
FA00011,140
FA00016-SN2419,140
FA00104-1045,140
FA00138,140
FA00139,140
FA00139RF-1,140
FA00147,140
FA00147RF-2,140
FA00183,140
FA00205,140
FA00220,140
FA00301,140
FA00302,140
FA00303,140
FA00WR75RF-2,140
FB-Bagplade,140
FB-Betonmagnet,140
FB-BTN160320160,140
FB-Fingermøtrik,140
FB-Patent,140
FB-Pottemagnet,140
FB-PRE100320160-001,140
FB-PRE160320160-001,140
FB-Skærmskive,140
FB-Øjebolt,140
FLE_S_A,120
Fotoba Firmware,140
FR_1-4_PA_2000 - 05204,120
FSSE.22,140
FT05-004,120
FT05-222,120
FT05-225,120
FUS_103X32_2A,120
GDONGLE,140
GDONGLE-C,140
GS+365894.0,120
H21652,140
HDM191910V1.4,140
HDM19192FV1.4,140
HDM19193FV1.4,140
HDM19195V1.4,140
HW.KEY.FLEXI,140
IBM038A,140
J-239,120
J-239-5478,140
K-FIBER2LC-ST,140
KipCut,140
KTD-INSP6000B/2G,140
KTH9600BS/4G,140
M220VCTCV,120
MA402000,120
MA9047000011,120
MC7710412,120
MG1/0,140
MG20L,120
MIX160160160001,140
MODGR5,140
MONGG10FB,140
MP_M24V - 05216,120
MP41A0838,140
MP41B0838,140
MT_39X8X1,120
NCDIENST,140
"NR 10,0/6",140
OM1600,140
PANET-LAV300-0827,120
PAP40I000,140
PCFE12634A-New production,140
PDS,140
PG - APM060FP-16,120
PHCVS,140
PHIRS193-17603,120
PHTIASR16-07401,140
PHTICL-FW,120
PHTICL-LITE,140
PHTICL-PU,120
PHTICT500,140
